14028344,57,239.0412880000,27.1868999984,41
-,-,-,-,-
4415279,55,38.5624010000,23.3948233211,43
-,-,-,-,-
-,-,-,-,-
5253685,56,45.8869790000,26.6207891263,42
-,-,-,-,-
2021382,56,17.3295750000,28.1531979598,42
-,-,-,-,-
969356,52,8.3029010000,27.4164877865,36
-,-,-,-,-
7170013,52,64.8285490000,23.3837362048,30
-,-,-,-,-
2618503,50,22.8034940000,24.4245226130,32
-,-,-,-,-
313211,46,2.6462170000,21.5037140642,32
-,-,-,-,-
17805045,59,269.3809670000,27.7349894996,43
-,-,-,-,-
3525006,57,30.7989810000,28.7505439469,43
-,-,-,-,-
32334,45,0.2616460000,26.2362077458,35
-,-,-,-,-
831333,46,7.3792670000,19.5074789389,36
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
909219,42,8.1753960000,18.6516220566,24
-,-,-,-,-
-,-,-,-,-
1267588,55,11.0179540000,27.2594328727,43
-,-,-,-,-
154092,46,1.3124240000,22.9871495177,36
-,-,-,-,-
1995813,52,17.8312650000,24.5729793819,36
-,-,-,-,-
5668025,54,51.4243750000,26.4033954984,34
-,-,-,-,-
13338796,59,225.3466200000,28.2474151999,41
-,-,-,-,-
1398857,49,12.4412890000,24.2770532644,33
-,-,-,-,-
4691710,54,42.0623750000,26.3122338067,34
-,-,-,-,-
6227205,52,62.0734690000,24.7002716563,32
-,-,-,-,-
-,-,-,-,-
11278428,53,123.7600590000,25.4591570695,33
-,-,-,-,-
909442,52,7.6687280000,27.8727096935,36
-,-,-,-,-
3917549,54,34.5289720000,26.1190662514,38
-,-,-,-,-
215990,47,1.7987000000,24.8401686970,35
-,-,-,-,-
192534,50,1.5597690000,28.1648096143,38
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
2063117,52,18.6733730000,25.9824634710,36
-,-,-,-,-
4626661,55,41.0906130000,26.9748094348,39
-,-,-,-,-
2309697,52,20.3269270000,25.7914906964,36
-,-,-,-,-
-,-,-,-,-
827864,53,7.3562130000,28.7100551443,41
-,-,-,-,-
1118025,49,9.8704230000,24.2807582268,35
-,-,-,-,-
6540243,54,59.9516090000,26.3805566541,36
-,-,-,-,-
5727374,54,52.6720560000,26.1219088814,36
-,-,-,-,-
48447,42,0.4064270000,23.3000385132,30
-,-,-,-,-
7332466,64,75.6577280000,33.0528259863,48
-,-,-,-,-
2731989,50,24.1171660000,24.6075007633,32
-,-,-,-,-
539196,51,4.5229810000,27.3161223238,39
-,-,-,-,-
1430455,49,12.5981290000,22.9179195000,35
-,-,-,-,-
179689,47,1.5323980000,25.4753091246,35
-,-,-,-,-
119535,49,0.9993540000,25.1685208076,39
-,-,-,-,-
-,-,-,-,-
4399444,53,39.4569330000,25.0993915563,39
-,-,-,-,-
3031922,56,26.5364740000,28.0748248925,44
-,-,-,-,-
11641228,56,161.1559920000,26.8034446683,38
-,-,-,-,-
-,-,-,-,-
7221615,56,66.3869760000,27.8207203221,40
-,-,-,-,-
152123,41,1.2945350000,20.6961392135,29
-,-,-,-,-
-,-,-,-,-
484048,50,4.1352340000,26.1173847415,36
-,-,-,-,-
506538,51,4.3178460000,25.5452936716,37
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
508957,45,4.5340390000,21.7270990955,31
-,-,-,-,-
1828847,57,16.1585640000,29.0845691163,43
-,-,-,-,-
-,-,-,-,-
5622335,51,50.9340410000,23.6182980226,31
-,-,-,-,-
920623,47,8.0896530000,22.6228185793,31
-,-,-,-,-
-,-,-,-,-
8430894,50,87.8946400000,23.9214006549,28
-,-,-,-,-
5471060,51,49.5361780000,25.1179961420,31
-,-,-,-,-
